Tahiti,Upolu,Tongatapu,Rarotonga,Wallis,Niue
27.30130878133474,27.30130878133474,27.30130878133474,27.30130878133474,27.30130878133474,27.30130878133474
27.299727452642458,27.299727452642458,27.299727452642458,27.299727452642458,27.299727452642458,27.299727452642458
27.2796512038409,27.2796512038409,27.2796512038409,27.2796512038409,27.2796512038409,27.2796512038409
27.239567373811667,27.239567373811667,27.239567373811667,27.239567373811667,27.239567373811667,27.239567373811667
27.20366593174782,27.20366593174782,27.20366593174782,27.20366593174782,27.20366593174782,27.20366593174782
27.177088707142786,27.177088707142786,27.177088707142786,27.177088707142786,27.177088707142786,27.177088707142786
27.168075881884647,27.168075881884647,27.168075881884647,27.168075881884647,27.168075881884647,27.168075881884647
27.145273027795326,27.145273027795326,27.145273027795326,27.145273027795326,27.145273027795326,27.145273027795326
27.124623509880564,27.124623509880564,27.124623509880564,27.124623509880564,27.124623509880564,27.124623509880564
27.11429906193854,27.11429906193854,27.11429906193854,27.11429906193854,27.11429906193854,27.11429906193854
